ID,Gmina,Województwo,Powiat,Typ gminy,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
126,Kondratowice,dolnośląskie,strzeliński,wiejska,9826,98,4363,44,25,24,1,0,0,33,6,27,0,0,0,2,0,2,0,1,22,30,4,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,8,0,0,0,1,0,0,1,0,6,0,0,0,4
127,Przeworno,dolnośląskie,strzeliński,wiejska,11197,112,4845,43,42,34,8,0,0,28,3,25,0,0,0,5,0,5,0,6,24,28,7,5,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,6
128,Strzelin,dolnośląskie,strzeliński,miejsko-wiejska,17141,171,22178,129,148,142,6,0,0,215,51,159,5,0,0,22,0,20,2,90,150,87,22,12,2,0,4,76,0,0,0,0,0,1,0,0,0,0,0,0,4,75,0,4,21,0,0,9,4,1,0,6,2,59,0,0,1,40
129,Wiązów,dolnośląskie,strzeliński,miejsko-wiejska,14177,142,7296,51,79,76,3,0,0,72,12,52,8,0,0,11,0,11,0,13,61,51,22,4,0,0,3,24,0,0,0,0,1,1,0,0,0,0,0,0,2,23,0,0,3,0,0,0,1,0,0,0,0,28,0,0,0,12
131,Kostomłoty,dolnośląskie,średzki,wiejska,14524,145,7178,49,75,72,3,0,0,107,18,82,7,0,0,7,0,7,0,10,40,90,30,11,1,0,2,62,0,0,0,0,0,1,0,0,0,0,0,0,2,61,0,6,5,0,1,0,2,1,0,1,0,67,0,0,0,31
132,Malczyce,dolnośląskie,średzki,wiejska,5257,53,5997,114,54,50,4,0,0,26,7,18,1,0,0,4,0,3,1,4,38,24,12,2,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,1,0,2,2,0,0,0,5,0,0,2,5
133,Miękinia,dolnośląskie,średzki,wiejska,17948,179,15524,86,130,122,7,1,0,110,34,71,5,0,0,17,0,17,0,18,82,111,23,6,0,0,5,50,0,0,0,0,1,1,0,0,0,1,0,1,4,48,0,3,9,0,0,1,1,0,0,3,1,44,1,0,2,28
134,Środa Śląska,dolnośląskie,średzki,miejsko-wiejska,21596,216,19798,92,162,156,5,0,1,156,38,116,2,0,0,25,0,19,6,75,137,85,15,6,0,0,4,73,0,0,0,0,0,1,0,0,0,0,0,0,4,72,0,11,8,0,0,2,8,0,0,3,0,50,0,0,0,44
135,Udanin,dolnośląskie,średzki,wiejska,11089,111,5225,47,63,59,4,0,0,50,7,36,7,0,0,7,0,7,0,17,36,35,20,5,0,0,4,35,0,1,0,1,0,0,0,0,0,0,0,0,4,34,0,1,5,0,1,2,0,0,0,0,0,27,0,0,0,18
137,Dobromierz,dolnośląskie,świdnicki,wiejska,8593,86,5301,62,44,43,1,0,0,37,8,24,5,0,0,2,0,2,0,12,35,27,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,2,1,0,0,1,0,10,0,0,1,7
138,Jaworzyna Śląska,dolnośląskie,świdnicki,miejsko-wiejska,6745,67,10344,153,97,87,8,2,0,76,13,56,7,0,0,5,1,4,0,9,82,59,10,12,1,0,3,11,0,0,0,0,1,1,0,0,0,0,0,0,2,10,0,0,5,0,0,14,5,0,0,1,0,13,0,0,3,3
139,Marcinowice,dolnośląskie,świdnicki,wiejska,9524,95,6497,68,76,68,8,0,0,45,6,37,2,0,0,2,0,2,0,6,61,42,11,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,9,0,0,0,1,0,0,1,0,24,0,0,1,17
140,Strzegom,dolnośląskie,świdnicki,miejsko-wiejska,14465,145,26102,180,234,228,6,0,0,147,35,99,13,0,0,24,1,19,4,81,153,114,20,10,3,0,3,48,0,0,0,0,0,1,0,0,0,0,0,0,3,47,0,2,13,0,0,0,5,1,0,3,1,56,0,0,4,23
141,Świdnica (gmina wiejska),dolnośląskie,świdnicki,wiejska,20784,208,17131,82,95,85,9,1,0,133,39,89,5,0,0,22,0,8,14,231,182,72,14,2,0,0,2,40,0,0,0,0,0,1,0,0,0,0,0,0,2,39,0,5,25,0,0,1,2,0,0,0,12,40,0,0,6,21
142,Świdnica (gmina miejska),dolnośląskie,świdnicki,miejska,2176,22,57671,2650,185,180,5,0,0,316,99,210,7,0,0,72,4,53,15,25,115,63,21,3,1,0,7,79,0,2,0,2,0,7,0,1,0,0,0,0,7,70,0,9,18,1,0,11,14,3,0,6,0,49,0,0,10,51
143,Świebodzice,dolnośląskie,świdnicki,miejska,3043,30,22840,751,119,115,4,0,0,131,48,73,9,1,0,15,0,15,0,105,83,40,13,9,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,2,9,0,0,0,8,1,0,1,1,21,0,0,5,16
144,Żarów,dolnośląskie,świdnicki,miejsko-wiejska,8784,88,12506,142,91,85,6,0,0,87,14,65,8,0,0,5,0,5,0,9,87,65,12,5,0,0,1,36,0,0,0,0,0,6,0,3,0,0,0,0,1,30,0,2,8,0,0,20,3,0,0,2,0,17,0,0,1,15
146,Oborniki śląskie,dolnośląskie,trzebnicki,miejsko-wiejska,15426,154,20105,130,110,105,5,0,0,140,25,107,8,0,0,9,0,8,1,7,75,137,27,4,0,0,6,54,0,1,0,1,0,4,0,0,0,0,0,0,6,49,0,0,35,0,0,1,2,0,0,2,2,32,0,0,0,31
147,Prusice,dolnośląskie,trzebnicki,miejsko-wiejska,15798,158,9363,59,98,92,6,0,0,62,9,53,0,0,0,11,0,6,5,5,60,70,20,5,0,0,0,24,0,1,0,1,0,1,0,0,0,0,0,0,0,22,0,2,16,0,0,10,0,0,0,2,1,21,0,0,0,8
148,Trzebnica,dolnośląskie,trzebnicki,miejsko-wiejska,19996,200,24179,121,170,154,15,1,0,193,40,148,5,0,0,18,2,12,4,43,167,114,33,5,0,0,6,63,0,0,0,0,1,2,0,0,0,3,0,0,5,58,0,0,18,1,0,11,2,0,0,3,12,52,0,0,1,41
149,Wisznia Mała,dolnośląskie,trzebnicki,wiejska,10336,103,10198,99,63,55,7,1,0,81,10,70,1,0,0,5,0,4,1,1,35,88,17,3,0,0,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,3,0,0,4,1,0,0,0,3,31,0,0,0,14
150,Zawonia,dolnośląskie,trzebnicki,wiejska,11745,118,5921,50,47,44,2,1,0,45,8,35,2,0,0,3,0,2,1,6,41,31,11,3,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,14,0,0,3,0,0,0,0,1,6,0,0,0,5
151,Żmigród,dolnośląskie,trzebnicki,miejsko-wiejska,29177,292,14729,50,84,80,4,0,0,130,11,116,3,0,0,6,0,6,0,2,44,118,45,5,0,0,4,46,0,0,0,0,0,2,0,1,0,0,0,0,4,44,0,5,20,0,0,1,2,0,0,2,3,40,0,0,3,20
153,Wałbrzych,dolnośląskie,Wałbrzych,miasto na prawach powiatu,8470,85,113621,1341,715,696,18,1,0,628,134,477,17,0,0,118,5,62,51,438,575,238,74,15,3,0,18,167,0,0,0,0,1,19,0,5,0,0,0,0,17,148,0,9,76,0,0,5,41,4,0,13,3,76,1,0,5,69
155,Boguszów-Gorce,dolnośląskie,wałbrzyski,miejska,2702,27,15566,576,187,187,0,0,0,103,16,83,4,0,0,17,0,13,4,35,123,102,24,6,0,0,2,27,0,0,0,0,0,2,0,0,0,0,0,0,2,25,0,0,13,0,1,0,8,3,0,2,3,14,0,0,1,14
156,Czarny Bór,dolnośląskie,wałbrzyski,wiejska,6640,66,4858,73,66,59,6,1,0,25,5,18,2,0,0,3,0,3,0,6,18,39,21,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6,0,0,0,1,1,0,0,0,4,0,0,1,3
157,Głuszyca,dolnośląskie,wałbrzyski,miejsko-wiejska,6212,62,8708,140,33,30,3,0,0,38,1,33,4,0,0,4,1,3,0,8,14,31,15,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,4,0,0,1,4,2,0,0,1,7,0,1,1,5
158,Jedlina-Zdrój,dolnośląskie,wałbrzyski,miejska,1745,17,4887,280,28,26,1,1,0,31,5,26,0,0,0,8,1,4,3,0,16,32,9,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,10,0,0,0,1,1,0,1,0,4,0,0,0,2
159,Mieroszów,dolnośląskie,wałbrzyski,miejsko-wiejska,7606,76,6935,91,43,37,5,1,0,68,18,50,0,0,0,12,1,1,10,7,34,33,16,20,1,0,6,10,0,0,0,0,0,2,0,0,0,0,0,0,6,8,0,1,13,0,0,0,1,0,0,0,5,13,0,1,2,8
160,Stare Bogaczowice,dolnośląskie,wałbrzyski,wiejska,8729,88,4269,49,48,47,1,0,0,46,4,40,2,0,0,6,0,6,0,6,32,31,16,7,2,0,1,23,0,0,0,0,1,2,0,0,0,0,0,0,0,21,0,2,17,0,0,5,1,0,0,1,0,16,0,0,1,5
161,Szczawno-Zdrój,dolnośląskie,wałbrzyski,miejska,1474,15,5650,383,33,32,0,0,1,32,4,27,1,0,0,12,0,1,11,9,28,18,8,1,1,0,0,7,0,1,0,1,0,1,0,1,0,0,0,0,0,5,0,0,6,0,0,1,3,1,0,0,1,10,0,0,0,3
162,Walim,dolnośląskie,wałbrzyski,wiejska,7914,79,5573,70,35,34,1,0,0,33,5,28,0,0,0,5,0,5,0,5,24,28,10,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,1,0,9,0,0,0,4
164,Brzeg Dolny,dolnośląskie,wołowski,miejsko-wiejska,9440,94,16086,170,95,88,7,0,0,114,28,79,7,0,0,8,1,5,2,12,75,91,24,5,2,0,5,41,0,0,0,0,1,1,0,0,0,0,0,0,4,40,0,2,3,1,0,4,5,0,0,1,0,22,0,0,4,22
165,Wińsko,dolnośląskie,wołowski,wiejska,24946,250,8409,34,68,57,9,2,0,55,10,44,1,0,0,5,1,4,0,2,32,48,33,6,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,5,0,0,5,1,0,0,1,0,19,0,0,0,7
166,Wołów,dolnośląskie,wołowski,miejsko-wiejska,33110,331,22629,68,131,125,6,0,0,166,32,133,1,0,0,7,0,7,0,69,125,74,28,0,0,1,4,39,0,1,0,1,1,0,0,0,0,0,0,0,3,38,0,2,8,1,0,6,3,0,0,1,2,29,0,0,1,29
167,Wrocław,dolnośląskie,Wrocław,miasto na prawach powiatu,29282,293,638586,2181,2417,2372,35,8,2,4675,1477,3068,130,0,0,1456,48,723,685,2127,3388,1326,214,33,2,2,162,933,0,6,0,4,9,79,0,2,0,2,0,2,153,846,0,52,300,1,32,25,206,29,0,70,76,904,6,0,80,402
170,Czernica,dolnośląskie,wrocławski,wiejska,8363,84,14743,176,97,92,4,1,0,152,20,128,4,0,0,12,1,11,0,16,89,114,27,3,0,0,0,35,0,2,0,1,0,1,0,0,0,1,0,1,0,31,0,1,20,0,0,0,6,0,0,5,0,34,0,0,2,15
171,Długołęka,dolnośląskie,wrocławski,wiejska,21284,213,30706,144,113,105,7,1,0,269,59,202,8,0,0,34,0,26,8,11,165,167,30,9,0,0,4,47,0,0,0,0,1,2,0,0,0,0,0,0,3,45,0,5,19,0,1,2,7,2,0,0,2,71,0,0,1,19
