ID,Gmina,Województwo,Powiat,Typ gminy,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
763,Koluszki,łódzkie,łódzki wschodni,miejsko-wiejska,15720,157,23639,150,69,69,0,0,0,236,11,222,3,0,0,16,0,14,2,64,147,75,11,2,0,0,3,44,0,0,0,0,0,1,0,0,0,0,0,0,3,43,0,0,22,2,0,4,1,0,0,0,2,27,2,0,1,25
764,Nowosolna,łódzkie,łódzki wschodni,wiejska,5398,54,4850,90,19,17,1,0,1,87,2,78,7,0,0,2,0,2,0,2,44,44,12,4,0,0,1,17,0,0,0,0,1,1,0,0,0,0,0,0,0,16,0,1,2,0,0,0,1,0,0,0,1,24,0,0,0,11
765,Rzgów,łódzkie,łódzki wschodni,miejsko-wiejska,6632,66,10183,154,54,52,2,0,0,152,4,143,5,0,0,10,0,8,2,25,85,72,18,6,0,0,2,37,0,0,0,0,0,2,0,0,0,0,0,0,2,35,0,2,9,6,1,8,4,0,0,1,0,48,0,0,1,16
766,Tuszyn,łódzkie,łódzki wschodni,miejsko-wiejska,12990,130,12332,95,61,56,5,0,0,224,11,202,11,0,0,14,0,10,4,30,115,92,38,10,0,0,5,37,0,0,0,0,1,0,0,0,0,1,0,0,4,36,0,4,26,3,2,6,4,0,0,1,5,41,0,0,1,20
767,Łódź,łódzkie,Łódź,miasto na prawach powiatu,29325,293,690422,2354,2212,2184,28,0,0,5740,1102,4545,93,0,0,1098,31,339,728,2599,3563,1448,287,54,1,0,193,1492,0,5,0,5,16,149,0,9,0,7,0,5,177,1331,0,65,458,4,14,266,194,7,0,124,23,957,4,0,24,880
770,Białaczów,łódzkie,opoczyński,wiejska,11463,115,5820,51,40,39,1,0,0,48,2,43,3,0,0,2,0,2,0,3,35,40,6,4,0,0,2,10,0,0,0,0,1,0,0,0,0,1,0,1,1,9,0,0,5,1,0,1,0,0,0,0,0,4,1,0,0,7
771,Drzewica,łódzkie,opoczyński,miejsko-wiejska,11819,118,10559,89,47,47,0,0,0,75,1,72,2,0,0,3,0,3,0,11,49,52,10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,4,0,1,3,2,0,0,0,5,17,0,0,0,12
772,Mniszków,łódzkie,opoczyński,wiejska,12416,124,4760,38,19,17,2,0,0,71,0,68,3,0,0,1,0,1,0,4,37,37,8,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,1,0,1,1,0,0,0,1,12,0,0,5,6
773,Opoczno,łódzkie,opoczyński,miejsko-wiejska,19064,191,34607,182,100,98,2,0,0,295,13,279,3,0,0,29,0,16,13,80,173,119,21,2,0,0,7,76,0,0,0,0,0,1,0,0,0,0,0,0,7,75,0,2,13,2,2,17,3,0,0,3,8,52,0,0,1,40
774,Paradyż,łódzkie,opoczyński,wiejska,8139,81,4423,54,25,23,1,1,0,61,2,58,1,0,0,1,0,1,0,7,31,34,10,3,1,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,2,6,0,0,0,0,0,0,0,0,20,0,0,0,12
775,Poświętne,łódzkie,opoczyński,wiejska,14081,141,3197,23,21,20,1,0,0,44,1,40,3,0,0,2,0,2,0,2,15,29,17,2,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,8,0,0,0,0,0,0,1,0,14,0,0,0,10
776,Sławno,łódzkie,opoczyński,wiejska,12931,129,7640,59,9,9,0,0,0,62,0,60,2,0,0,1,0,1,0,2,25,29,13,2,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,4,3,1,0,0,0,0,0,1,1,18,0,0,0,8
777,Żarnów,łódzkie,opoczyński,wiejska,14106,141,5978,42,36,35,1,0,0,68,0,68,0,0,0,2,0,2,0,9,43,44,7,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,7
779,Dłutów,łódzkie,pabianicki,wiejska,10123,101,4567,45,23,20,3,0,0,54,1,53,0,0,0,1,0,1,0,15,38,15,5,4,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,13,0,1,0,0,0,0,1,2,4,0,0,0,4
780,Dobroń,łódzkie,pabianicki,wiejska,9546,95,7653,80,32,30,2,0,0,112,4,103,5,0,0,4,0,4,0,28,78,25,9,4,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,8,0,1,0,0,0,0,0,2,20,1,0,2,10
781,Konstantynów Łódzki,łódzkie,pabianicki,wiejska,2725,27,18013,661,41,39,1,1,0,150,9,136,5,0,0,13,0,6,7,33,93,52,10,3,0,0,2,35,0,0,0,0,1,3,0,0,0,0,0,0,1,32,0,9,10,3,0,6,2,0,0,0,1,29,0,0,1,16
782,Ksawerów,łódzkie,pabianicki,wiejska,1364,14,7684,563,25,24,1,0,0,67,2,64,1,0,0,7,1,4,2,17,44,26,3,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,8,1,0,0,0,2,8,0,0,0,5
783,Lutomiersk,łódzkie,pabianicki,wiejska,13392,134,8307,62,49,46,2,1,0,151,8,142,1,0,0,4,0,4,0,41,97,49,10,2,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,24,0,0,1,0,0,0,0,1,17,0,0,0,8
784,Pabianice (gmina miejska),łódzkie,pabianicki,miejska,3299,33,65823,1995,178,173,4,1,0,459,36,422,1,0,0,57,7,35,15,259,266,81,24,7,0,0,13,73,0,0,0,0,1,5,0,0,0,1,0,0,12,67,0,1,22,1,0,45,7,1,0,8,5,49,0,0,3,61
785,Pabianice (gmina wiejska),łódzkie,pabianicki,wiejska,8769,88,7238,83,32,31,1,0,0,87,1,85,1,0,0,5,0,5,0,21,59,32,6,1,0,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,1,18,0,0,5,0,0,0,0,0,0,0,2,26,0,0,0,14
787,Działoszyn,łódzkie,pajęczański,miejsko-wiejska,12092,121,12665,105,74,69,4,1,0,93,6,87,0,0,0,7,0,5,2,26,94,40,5,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,9,0,0,0,1,0,11,0,0,0,5
788,Kiełczygłów,łódzkie,pajęczański,wiejska,8720,87,4074,47,22,20,2,0,0,38,0,38,0,0,0,1,0,1,0,7,29,21,2,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,3
789,Nowa Brzeźnica,łódzkie,pajęczański,wiejska,13521,135,4609,34,31,29,2,0,0,58,2,56,0,0,0,2,0,2,0,3,40,33,11,2,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,3,3,0,0,0,0,0,0,0,1,16,0,0,0,6
790,Pajęczno,łódzkie,pajęczański,miejsko-wiejska,11363,114,11696,103,53,49,2,2,0,126,6,120,0,0,0,8,0,5,3,47,91,36,2,3,0,0,3,16,0,2,0,0,0,2,0,0,0,0,0,0,3,12,0,1,8,0,1,1,1,0,0,0,4,13,0,0,0,8
791,Rząśnia,łódzkie,pajęczański,wiejska,8614,86,4892,57,21,20,1,0,0,38,0,37,1,0,0,2,0,2,0,4,31,22,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,4
792,Siemkowice,łódzkie,pajęczański,wiejska,9998,100,4814,48,22,22,0,0,0,34,3,31,0,0,0,2,0,1,1,5,33,16,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,0,0,2,4,0,0,0,3
793,Strzelce Wielkie,łódzkie,pajęczański,wiejska,7800,78,4651,60,13,11,1,0,1,46,1,44,1,0,0,2,0,2,0,5,29,17,4,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
794,Sulmierzyce,łódzkie,pajęczański,wiejska,8274,83,4450,54,29,22,7,0,0,44,1,43,0,0,0,0,0,0,0,6,22,34,9,1,1,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,2
796,Aleksandrów,łódzkie,piotrkowski,wiejska,14409,144,4352,30,14,10,4,0,0,46,1,44,1,0,0,1,0,1,0,5,22,23,7,3,0,0,2,9,0,0,0,0,0,2,0,1,0,0,0,0,2,7,0,0,4,0,0,0,0,0,0,1,2,2,0,0,1,5
797,Czarnocin,łódzkie,piotrkowski,wiejska,7179,72,4111,57,14,13,1,0,0,25,2,23,0,0,0,1,0,1,0,5,15,13,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,0,0,1,0,0,0,0,2,4,0,0,0,1
798,Gorzkowice,łódzkie,piotrkowski,wiejska,10217,102,8541,84,15,14,1,0,0,54,4,49,1,0,0,2,0,2,0,10,30,19,6,4,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,4,0,0,0,0,0,0,0,0,7,0,0,1,6
799,Grabica,łódzkie,piotrkowski,wiejska,12762,128,6087,48,18,16,2,0,0,58,7,48,3,0,0,4,2,0,2,1,38,23,10,4,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,4,5,0,0,0,1,0,0,1,0,15,0,0,2,10
800,Łęki Szlacheckie,łódzkie,piotrkowski,wiejska,10896,109,3514,32,9,9,0,0,0,28,1,27,0,0,0,1,0,1,0,5,14,14,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1
801,Moszczenica,łódzkie,piotrkowski,wiejska,11149,111,12857,115,37,36,1,0,0,103,6,90,6,1,0,12,0,2,10,12,60,53,11,4,0,0,3,34,0,0,0,0,0,0,0,0,0,1,0,0,3,33,0,2,5,0,0,0,1,0,0,0,2,21,0,0,0,12
802,Ręczno,łódzkie,piotrkowski,wiejska,8890,89,3554,40,8,5,3,0,0,38,1,37,0,0,0,1,0,1,0,1,10,22,10,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,2,1,0,2,0,0,0,0,0,9,0,0,0,6
803,Rozprza,łódzkie,piotrkowski,wiejska,16308,163,12306,75,44,41,3,0,0,112,4,108,0,0,0,7,0,4,3,26,72,45,11,2,0,0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,2,13,0,0,10,2,0,1,0,0,0,1,4,13,0,0,0,8
804,Sulejów,łódzkie,piotrkowski,miejsko-wiejska,18823,188,16291,87,43,41,1,1,0,232,13,212,7,0,0,15,0,3,12,31,129,85,26,4,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,2,18,1,0,25,4,0,0,2,3,22,0,0,2,10
805,Wola Krzysztoporska,łódzkie,piotrkowski,wiejska,17075,171,11921,70,64,60,4,0,0,156,9,142,5,0,0,16,0,7,9,30,88,76,22,4,0,0,4,36,0,0,0,0,0,1,0,0,0,0,0,0,4,35,0,4,12,1,0,1,1,0,0,1,2,41,0,0,1,21
806,Wolbórz,łódzkie,piotrkowski,miejsko-wiejska,15166,152,7767,51,26,26,0,0,0,115,3,110,2,0,0,13,0,3,10,8,52,59,18,4,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,9,1,0,4,2,0,0,2,1,21,0,0,1,3
808,Piotrków Trybunalski,łódzkie,Piotrków Trybunalski,miasto na prawach powiatu,6724,67,74312,1105,236,232,3,1,0,614,80,529,5,0,0,83,3,42,38,358,360,102,26,4,0,0,15,137,0,2,0,2,2,13,0,3,0,0,0,0,13,122,0,4,19,1,1,5,15,4,0,2,4,78,0,0,13,64
810,Dalików,łódzkie,poddębicki,wiejska,11462,115,3901,34,7,7,0,0,0,51,2,46,3,0,0,3,0,3,0,4,24,21,6,3,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,2,21,1,7,7,0,1,0,0,0,0,0,1,15,0,0,0,11
811,Pęczniew,łódzkie,poddębicki,wiejska,12779,128,3482,27,15,13,2,0,0,45,2,40,3,0,0,1,0,1,0,2,14,37,5,2,0,0,2,8,0,0,0,0,0,0,0,0,1,4,0,0,1,4,0,0,8,0,0,0,0,0,0,0,1,5,0,0,1,4
812,Poddębice,łódzkie,poddębicki,miejsko-wiejska,22454,225,15663,70,43,43,0,0,0,181,21,158,2,0,0,16,1,9,6,54,93,59,14,4,0,0,3,39,0,1,0,1,0,1,0,0,0,0,0,0,3,37,0,4,32,0,0,0,1,0,0,2,1,35,0,0,2,21
813,Uniejów,łódzkie,poddębicki,miejsko-wiejska,12901,129,7062,55,18,15,3,0,0,76,4,65,7,0,0,22,0,4,18,1,31,44,14,4,0,0,3,28,0,0,0,0,0,1,0,0,0,0,0,0,3,27,0,6,6,0,0,8,1,0,0,0,0,25,0,0,1,16
814,Wartkowice,łódzkie,poddębicki,wiejska,14012,140,6260,45,21,17,2,2,0,70,2,62,6,0,0,4,0,4,0,2,22,45,15,6,1,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,1,6,0,0,0,0,0,0,0,2,37,0,0,0,23
815,Zadzim,łódzkie,poddębicki,wiejska,14513,144,5012,35,16,15,1,0,0,79,5,69,5,0,0,3,0,3,0,8,39,34,12,2,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,1,14,0,2,0,0,0,0,0,2,22,1,0,1,10
817,Dobryszyce,łódzkie,radomszczański,wiejska,5082,51,4393,86,9,8,1,0,0,44,2,42,0,0,0,1,0,1,0,4,12,27,8,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,2,0,0,3,1,0,0,1,0,8,0,0,0,5
818,Gidle,łódzkie,radomszczański,wiejska,11598,116,6151,53,32,29,3,0,0,55,1,54,0,0,0,0,0,0,0,7,43,28,6,3,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,7
819,Gomunice,łódzkie,radomszczański,wiejska,6245,62,5902,95,19,18,1,0,0,60,0,60,0,0,0,1,0,1,0,5,22,40,11,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,1,0,0,0,0,0,8,0,0,0,6
820,Kamieńsk,łódzkie,radomszczański,miejsko-wiejska,9644,96,5977,62,30,28,2,0,0,90,5,84,1,0,0,4,0,4,0,5,47,47,18,3,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,2,0,0,0,0,1,0,0,1,1,23,0,0,0,10
821,Kobiele Wielkie,łódzkie,radomszczański,wiejska,10172,102,4449,44,19,19,0,0,0,28,1,25,2,0,0,1,0,1,0,1,13,22,11,0,0,0,3,16,0,0,0,0,1,1,0,0,0,0,0,0,2,15,0,3,3,0,0,2,0,0,0,1,0,7,0,0,0,7
822,Kodrąb,łódzkie,radomszczański,wiejska,10583,106,4575,43,15,14,1,0,0,41,4,36,1,0,0,2,0,0,2,4,20,23,8,1,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,4,7,0,0,0,1,0,0,0,0,11,0,0,0,10
823,Lgota Wielka,łódzkie,radomszczański,wiejska,6307,63,4308,68,14,13,1,0,0,46,2,44,0,0,0,1,0,1,0,3,22,29,5,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,7,0,0,0,2,1,7,0,0,0,5
824,Ładzice,łódzkie,radomszczański,wiejska,8277,83,4809,58,19,19,0,0,0,81,0,79,2,0,0,7,0,3,4,7,31,41,18,3,0,0,2,28,0,0,0,0,0,1,0,0,0,0,0,0,2,27,0,6,1,0,0,4,1,1,0,0,0,23,0,0,1,10
825,Masłowice,łódzkie,radomszczański,wiejska,11597,116,4183,36,15,11,4,0,0,35,2,33,0,0,0,1,0,1,0,1,12,22,12,2,1,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,2,16,1,1,2,0,0,0,0,0,0,0,1,11,0,0,0,4
826,Przedbórz,łódzkie,radomszczański,miejsko-wiejska,18970,190,7262,38,66,61,5,0,0,65,1,63,1,0,0,0,0,0,0,10,44,52,21,4,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,1,4,0,0,2,0,0,0,2,1,9,0,0,2,6
827,Radomsko (gmina miejska),łódzkie,radomszczański,miejska,5143,51,46409,902,110,107,2,0,1,412,30,380,2,0,0,57,1,31,25,100,231,133,46,11,1,0,8,148,0,0,0,0,0,22,0,7,0,3,0,3,8,123,0,14,6,4,0,27,14,1,0,4,4,56,0,0,2,71
828,Radomsko (gmina wiejska),łódzkie,radomszczański,wiejska,8563,86,5636,66,27,21,5,1,0,67,2,63,2,0,0,2,0,2,0,13,35,25,19,2,0,0,1,18,0,1,0,1,0,0,0,0,0,0,0,0,1,17,0,6,5,0,0,0,1,0,0,0,0,14,0,0,0,7
829,Wielgomłyny,łódzkie,radomszczański,wiejska,12315,123,4670,38,19,17,2,0,0,37,2,35,0,0,0,3,0,3,0,0,13,31,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,1,0,5,0,0,0,0
830,Żytno,łódzkie,radomszczański,wiejska,19761,198,5199,26,20,16,4,0,0,57,1,56,0,0,0,1,0,1,0,2,34,30,10,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,8,0,0,0,1,0,0,0,0,6,0,0,0,2
832,Biała Rawska,łódzkie,rawski,miejsko-wiejska,20831,208,11427,55,37,32,4,1,0,107,13,91,3,0,0,5,0,4,1,10,44,66,20,3,1,0,3,27,0,0,0,0,0,2,0,0,0,0,0,0,3,25,0,1,15,0,0,1,0,0,0,0,1,29,0,0,1,5
833,Cielądz,łódzkie,rawski,wiejska,9293,93,3981,43,10,9,1,0,0,28,7,20,1,0,0,1,0,1,0,1,14,15,7,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,12,0,0,1,7
834,Rawa Mazowiecka (gmina miejska),łódzkie,rawski,miejska,1428,14,17480,1224,46,43,3,0,0,177,27,149,1,0,0,13,0,6,7,78,99,34,10,2,0,0,8,42,0,0,0,0,0,7,0,3,0,0,0,0,8,35,0,0,10,1,0,5,3,0,0,3,3,47,0,0,1,22
835,Rawa Mazowiecka (gmina wiejska),łódzkie,rawski,wiejska,16325,164,8750,54,26,22,4,0,0,99,7,91,0,1,0,5,0,4,1,18,62,28,14,3,0,0,2,32,0,1,0,0,0,0,0,0,0,0,0,0,2,31,0,1,12,0,0,0,1,0,0,1,0,27,0,0,0,13
836,Regnów,łódzkie,rawski,wiejska,4635,46,1821,39,2,2,0,0,0,12,0,12,0,0,0,2,0,2,0,0,3,8,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,1
837,Sadkowice,łódzkie,rawski,wiejska,12108,121,5538,46,13,11,2,0,0,20,1,18,1,0,0,2,0,2,0,1,8,16,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,2
839,Błaszki,łódzkie,sieradzki,miejsko-wiejska,20138,201,14658,73,52,46,5,0,1,94,11,80,3,0,0,1,0,1,0,10,57,55,15,9,0,0,3,32,0,0,0,0,0,7,0,5,0,0,0,0,3,25,0,4,9,0,0,5,0,1,0,0,2,25,0,0,1,11
840,Brąszewice,łódzkie,sieradzki,wiejska,10663,107,4530,42,22,20,2,0,0,24,3,21,0,0,0,2,1,0,1,7,21,12,5,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,1,4,0,0,0,0,0,0,0,1,6,0,0,0,5
841,Brzeźnio,łódzkie,sieradzki,wiejska,12863,129,6362,49,27,22,5,0,0,52,3,48,1,0,0,1,0,1,0,7,37,22,12,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,3,11,0,0,3,0,0,0,0,1,13,0,0,0,3
842,Burzenin,łódzkie,sieradzki,wiejska,12035,120,5521,46,23,19,4,0,0,42,3,39,0,0,0,0,0,0,0,8,31,15,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1
843,Goszczanów,łódzkie,sieradzki,wiejska,12154,122,5516,45,11,10,0,1,0,39,5,34,0,0,0,0,0,0,0,5,14,22,7,2,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,3,4,0,0,2,0,0,0,0,1,11,0,0,1,7
844,Klonowa,łódzkie,sieradzki,wiejska,9498,95,2891,30,3,2,1,0,0,15,2,13,0,0,0,1,0,1,0,3,2,8,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,6,1,3,0,0,0,2
845,Sieradz (gmina miejska),łódzkie,sieradzki,miejska,5122,51,42570,831,125,118,6,1,0,211,36,172,3,0,0,32,0,15,17,100,146,73,15,2,0,0,6,54,0,0,0,0,0,4,0,0,0,0,0,0,6,50,0,4,13,0,0,2,3,0,0,1,2,50,0,0,1,25
846,Sieradz (gmina wiejska),łódzkie,sieradzki,wiejska,18160,182,10558,58,61,54,7,0,0,96,10,82,4,0,0,8,0,4,4,10,71,64,12,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,11,0,1,4,2,2,0,0,2,22,0,0,2,11
847,Warta,łódzkie,sieradzki,miejsko-wiejska,25434,254,12784,50,88,78,9,0,1,106,12,90,4,0,0,14,1,9,4,16,71,74,22,11,0,0,3,26,0,0,0,0,1,1,0,0,0,1,0,1,2,24,0,1,14,0,0,15,1,0,0,0,5,18,0,0,4,10
848,Wróblew,łódzkie,sieradzki,wiejska,11290,113,6113,54,32,30,2,0,0,44,3,40,1,0,0,6,0,4,2,3,24,40,9,0,0,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,1,14,0,0,8,0,0,4,0,0,0,0,3,18,1,0,1,5
849,Złoczew,łódzkie,sieradzki,miejsko-wiejska,11726,117,7189,61,48,41,6,1,0,54,8,43,3,0,0,4,1,3,0,11,27,44,19,1,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,7,0,0,2,0,0,0,0,1,24,0,0,0,6
851,Skierniewice,łódzkie,Skierniewice,miasto na prawach powiatu,3460,35,48308,1396,134,131,3,0,0,410,37,366,6,1,0,33,1,26,6,192,219,97,29,6,1,0,10,78,0,0,0,0,0,6,0,0,0,0,0,0,10,72,0,4,16,1,0,23,9,0,0,2,10,60,0,0,2,52
853,Bolimów,łódzkie,skierniewicki,wiejska,11171,112,4054,36,21,20,1,0,0,82,5,76,1,0,0,8,0,8,0,5,30,53,12,3,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,16,0,0,2,0,0,0,0,2,20,0,0,1,10
854,Głuchów,łódzkie,skierniewicki,wiejska,11073,111,5813,52,18,17,1,0,0,40,4,33,3,0,0,2,0,0,2,4,27,22,3,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,2,1,0,0,2,8,0,0,1,2
855,Godzianów,łódzkie,skierniewicki,wiejska,4406,44,2631,60,3,3,0,0,0,23,2,21,0,0,0,1,0,1,0,5,11,10,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,1,0,0,0,1,3,0,0,0,6
856,Kowiesy,łódzkie,skierniewicki,wiejska,8583,86,2908,34,22,18,4,0,0,56,1,50,5,0,0,2,0,2,0,4,37,27,7,3,0,0,3,13,0,0,0,0,0,3,0,0,0,0,0,0,3,10,0,2,5,0,0,2,0,0,0,0,0,14,0,0,0,9
857,Lipce Reymontowskie,łódzkie,skierniewicki,wiejska,4291,43,3298,77,5,4,1,0,0,44,2,42,0,0,0,0,0,0,0,10,21,14,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0
858,Maków,łódzkie,skierniewicki,wiejska,8153,81,5981,73,21,21,0,0,0,64,0,64,0,0,0,4,0,4,0,21,49,11,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,1,0,0,0,1,0,8,0,0,0,2
859,Nowy Kawęczyn,łódzkie,skierniewicki,wiejska,10422,104,3382,32,16,16,0,0,0,51,1,50,0,0,0,7,0,5,2,7,24,31,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,1,0,0,0,0,1,2,0,0,1,1
860,Skierniewice,łódzkie,skierniewicki,wiejska,13130,131,7506,57,34,30,3,1,0,117,3,112,2,0,0,5,0,5,0,10,74,49,15,3,0,0,4,28,0,0,0,0,1,1,0,0,0,1,0,0,3,26,0,0,11,0,0,3,0,0,0,0,1,28,1,0,1,16
861,Słupia,łódzkie,skierniewicki,wiejska,4109,41,2651,65,9,9,0,0,0,20,1,19,0,0,0,0,0,0,0,6,13,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1
863,Będków,łódzkie,tomaszowski,wiejska,5774,57,3331,58,18,18,0,0,0,41,3,38,0,0,0,2,1,1,0,8,36,12,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,1,0,0,0,1,0,4,0,0,0,5
864,Budziszewice,łódzkie,tomaszowski,wiejska,3017,30,2181,72,5,4,1,0,0,38,1,36,1,0,0,2,0,2,0,2,20,16,3,2,0,0,1,7,0,1,0,0,0,1,0,0,0,0,0,0,1,5,0,0,4,0,0,1,0,0,0,0,0,4,0,0,0,2
865,Czerniewice,łódzkie,tomaszowski,wiejska,12807,128,5118,40,11,11,0,0,0,48,2,45,1,0,0,1,0,1,0,2,17,27,12,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1,1,0,6,0,0,0,0,0,8,0,0,0,5
