"KG PSP Warszawa
ul. Podchor¹¿ych 38
00-463 Warszawa
";;;;;;;;;;;;;;;;;Warszawa, dn. 23-01-2019r.
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"1_2. Zdarzenia wg rodzaju i wielkoœci w rozbiciu na województwo, powiat i gminê
";;;;;;;;;;;;;;;;;
;;Po¿ar (P);;;;;Miejscowe zagro¿enie (MZ);;;;;;Alarm fa³szywy (AF);;;;OGÓ£EM
LP.;Podzia³ administracyjny;RAZEM;Ma³y (P/M);Œredni (P/Œ);Du¿y (P/D);Bardzo du¿y (P/BD);RAZEM;Ma³e (MZ/M);Lokalne (MZ/L);Œrednie (MZ/Œ);Du¿e (MZ/D);Gigantyczne lub klêska ¿ywio³owa (MZ/K);RAZEM;Z³oœliwy (A/Z);W dobrej wierze (A/DW);Z instalacji wykrywania (A/IW); 
74;Krotoszyce;32;30;2;0;0;43;8;33;2;0;0;6;0;3;3;81
75;Kunice;70;67;3;0;0;36;10;23;3;0;0;4;0;4;0;110
76;Legnickie Pole;56;55;1;0;0;60;15;44;1;0;0;16;0;5;11;132
77;Mi³kowice;107;94;13;0;0;66;20;43;3;0;0;7;1;6;0;180
78;Prochowice;116;108;5;3;0;42;10;32;0;0;0;8;2;6;0;166
79;Ruja;15;14;1;0;0;16;2;13;1;0;0;2;0;0;2;33
80;lubañski;457;436;19;2;0;602;128;455;18;1;0;111;3;62;46;1170
81;Leœna;98;90;7;1;0;94;20;68;5;1;0;15;0;6;9;207
82;Lubañ (gmina miejska);142;139;3;0;0;227;47;175;5;0;0;40;2;22;16;409
83;Lubañ (gmina wiejska);74;71;3;0;0;94;15;78;1;0;0;9;0;9;0;177
84;Olszyna;44;41;3;0;0;32;8;21;3;0;0;9;0;9;0;85
85;Platerówka;25;24;1;0;0;27;2;24;1;0;0;1;0;1;0;53
86;Siekierczyn;36;34;1;1;0;38;8;29;1;0;0;5;0;5;0;79
87;Œwieradów-Zdrój;38;37;1;0;0;90;28;60;2;0;0;32;1;10;21;160
88;lubiñski;481;461;18;1;1;357;81;270;6;0;0;86;1;78;7;924
89;Lubin (gmina miejska);198;194;2;1;1;211;59;151;1;0;0;56;0;49;7;465
90;Lubin (gmina wiejska);119;108;11;0;0;77;10;64;3;0;0;16;1;15;0;212
91;Rudna;62;59;3;0;0;36;6;29;1;0;0;6;0;6;0;104
92;Œcinawa;102;100;2;0;0;33;6;26;1;0;0;8;0;8;0;143
93;lwówecki;369;343;26;0;0;469;58;398;12;1;0;33;0;25;8;871
94;Gryfów Œl¹ski;65;57;8;0;0;78;5;72;1;0;0;12;0;11;1;155
95;Lubomierz;55;51;4;0;0;68;11;54;3;0;0;2;0;1;1;125
96;Lwówek Œl¹ski;114;110;4;0;0;163;17;142;4;0;0;14;0;9;5;291
97;Mirsk;101;93;8;0;0;101;16;81;3;1;0;5;0;4;1;207
98;Wleñ;34;32;2;0;0;59;9;49;1;0;0;0;0;0;0;93
99;milicki;262;246;14;2;0;495;76;413;6;0;0;29;3;23;3;786
100;Cieszków;16;14;2;0;0;58;7;50;1;0;0;2;0;2;0;76
101;Kroœnice;73;69;4;0;0;90;8;81;1;0;0;7;1;5;1;170
102;Milicz;173;163;8;2;0;347;61;282;4;0;0;20;2;16;2;540
103;oleœnicki;528;499;29;0;0;676;87;573;16;0;0;23;2;14;7;1227
104;Bierutów;94;91;3;0;0;74;4;70;0;0;0;1;0;1;0;169
105;Dobroszyce;36;32;4;0;0;37;5;32;0;0;0;0;0;0;0;73
106;Dziadowa K³oda;24;22;2;0;0;13;0;12;1;0;0;0;0;0;0;37
107;Miêdzybórz;25;22;3;0;0;47;3;40;4;0;0;1;0;1;0;73
108;Oleœnica (gmina wiejska);113;104;9;0;0;125;13;111;1;0;0;4;0;3;1;242
109;Oleœnica (gmina miejska);109;107;2;0;0;200;37;162;1;0;0;13;2;5;6;322
110;Syców;62;61;1;0;0;111;16;90;5;0;0;4;0;4;0;177
111;Twardogóra;65;60;5;0;0;69;9;56;4;0;0;0;0;0;0;134
112;o³awski;660;640;20;0;0;535;98;421;16;0;0;72;3;44;25;1267
113;Domaniów;38;36;2;0;0;51;6;40;5;0;0;5;0;5;0;94
114;Jelcz-Laskowice;338;323;15;0;0;170;38;128;4;0;0;20;1;18;1;528
115;O³awa (gmina wiejska);133;131;2;0;0;118;12;102;4;0;0;7;0;7;0;258
116;O³awa (gmina miejska);151;150;1;0;0;196;42;151;3;0;0;40;2;14;24;387
117;polkowicki;407;381;20;5;1;465;85;363;16;1;0;56;2;54;0;928
118;Chocianów;77;70;7;0;0;104;11;89;4;0;0;11;0;11;0;192
119;Gaworzyce;26;25;1;0;0;34;1;28;5;0;0;7;0;7;0;67
120;Grêbocice;39;39;0;0;0;31;5;25;1;0;0;1;1;0;0;71
121;Polkowice;115;113;1;1;0;219;58;157;3;1;0;30;1;29;0;364
122;Przemków;105;94;8;3;0;52;7;43;2;0;0;4;0;4;0;161
123;Radwanice;45;40;3;1;1;25;3;21;1;0;0;3;0;3;0;73
124;strzeliñski;331;311;20;0;0;393;81;299;13;0;0;42;0;40;2;766
125;Borów;37;35;2;0;0;45;9;36;0;0;0;2;0;2;0;84
126;Kondratowice;25;24;1;0;0;33;6;27;0;0;0;2;0;2;0;60
127;Przeworno;42;34;8;0;0;28;3;25;0;0;0;5;0;5;0;75
128;Strzelin;148;142;6;0;0;215;51;159;5;0;0;22;0;20;2;385
129;Wi¹zów;79;76;3;0;0;72;12;52;8;0;0;11;0;11;0;162
130;œredzki;484;459;23;1;1;449;104;323;22;0;0;60;0;53;7;993
131;Kostom³oty;75;72;3;0;0;107;18;82;7;0;0;7;0;7;0;189
