ID,Powiat,Województwo,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
2139,pszczynski,śląskie,47116,471,110626,235,253,243,10,0,0,864,101,727,36,0,0,119,1,52,66,122,420,434,122,18,1,0,11,298,0,1,0,0,1,35,0,5,0,0,0,0,10,262,1,22,115,10,2,143,33,6,0,8,6,302,3,0,12,124
1959,pucki,pomorskie,58118,581,84687,146,246,239,7,0,0,603,106,480,17,0,0,64,1,24,39,105,280,293,131,35,5,0,17,177,0,0,0,0,2,8,0,0,0,0,0,0,15,169,0,23,82,10,0,40,5,4,0,10,11,179,0,0,30,109
533,pulawski,lubelskie,93409,934,114198,122,430,409,21,0,0,729,94,631,4,0,0,77,2,38,37,220,428,362,104,36,9,0,16,273,0,2,0,0,4,11,0,0,0,1,0,0,12,259,0,16,127,4,1,15,6,3,0,3,7,277,0,1,7,63
1338,pultuski,mazowieckie,82742,827,51834,63,210,199,10,0,1,539,53,480,6,0,0,41,0,26,15,149,302,204,75,16,3,0,11,100,0,0,0,0,0,5,0,0,0,0,0,0,11,95,0,8,94,32,10,9,5,2,0,6,3,102,0,0,12,77
2828,pyrzycki,zachodniopomorskie,72600,726,39873,55,385,366,16,3,0,241,68,171,2,0,0,18,1,16,1,98,247,224,46,9,2,0,7,72,0,1,0,1,0,7,0,1,0,0,0,0,7,64,0,6,67,2,1,15,3,0,0,0,1,50,0,0,6,24
2146,raciborski,śląskie,54376,544,108918,200,299,287,10,2,0,951,104,817,28,2,0,144,10,87,47,269,538,306,84,48,5,0,10,196,0,4,0,3,1,14,0,3,0,0,0,0,9,178,0,23,98,2,0,27,73,0,0,16,15,196,6,0,8,108
1346,Radom,mazowieckie,11180,112,214566,1919,617,602,13,1,1,1329,205,1116,7,1,0,349,3,144,202,607,793,376,120,43,7,0,15,394,0,5,0,5,2,38,0,10,0,1,0,1,13,350,0,42,157,21,3,94,39,11,0,16,4,341,1,1,5,113
1348,radomski,mazowieckie,152978,1530,151955,99,796,769,26,1,0,977,65,881,31,0,0,119,1,62,56,178,658,624,252,60,1,0,25,365,0,1,0,0,0,15,0,0,0,2,0,2,25,347,0,27,129,17,5,82,14,1,0,7,1,340,4,0,13,111
816,radomszczanski,łódzkie,144257,1443,113923,79,414,381,31,1,1,1118,53,1054,11,0,0,81,1,49,31,162,579,550,203,36,2,0,25,338,0,1,0,1,1,26,0,7,0,3,0,3,24,308,1,38,55,4,0,47,21,2,0,12,8,190,0,0,5,150
290,radziejowski,kujawsko-pomorskie,60720,607,40898,67,135,122,12,0,1,507,57,448,2,0,0,32,1,15,16,72,192,215,134,27,2,0,8,76,0,0,0,0,0,8,0,0,0,0,0,0,8,68,0,5,82,11,3,60,0,1,0,11,3,86,0,0,5,29
545,radzynski,lubelskie,96506,965,59640,62,220,203,17,0,0,379,35,340,4,0,0,37,2,14,21,81,234,199,67,16,2,0,15,101,0,0,0,0,4,4,0,0,0,0,0,0,11,97,0,4,32,0,0,0,2,0,0,1,9,119,1,0,2,32
2669,rawicki,wielkopolskie,55352,554,60409,109,109,106,3,0,0,496,28,457,11,0,0,29,0,15,14,145,226,158,64,11,0,1,12,93,0,0,0,0,0,1,0,0,0,0,0,0,12,92,0,9,33,0,0,4,10,0,0,8,5,91,0,0,3,64
831,rawski,łódzkie,64620,646,48997,76,134,119,14,1,0,443,55,381,6,1,0,28,0,19,9,108,230,167,62,9,1,0,14,120,0,1,0,0,0,10,0,3,0,0,0,0,14,109,0,3,41,1,1,6,4,0,0,4,5,123,0,0,3,50
1688,ropczycko-sedziszowski,podkarpackie,54831,548,74198,135,128,118,9,0,1,566,54,507,5,0,0,35,0,20,15,46,267,269,82,27,3,0,7,147,0,0,0,0,0,3,0,0,0,0,0,0,7,144,0,16,47,5,3,18,10,1,0,11,13,176,0,0,5,66
2155,Ruda Slaska,śląskie,7773,78,138578,1783,643,638,5,0,0,1045,152,871,22,0,0,182,11,102,69,574,709,319,69,11,4,1,12,265,0,0,0,0,3,29,0,4,0,0,0,0,9,236,0,33,157,4,0,39,144,0,0,9,14,210,3,0,1,144
2157,rybnicki,śląskie,22364,224,77942,349,213,206,7,0,0,574,45,520,9,0,0,45,4,36,5,96,374,266,40,10,1,0,7,106,0,1,0,0,2,8,0,0,0,0,0,0,5,97,0,6,33,0,0,9,11,0,0,4,13,111,1,0,0,34
